vlr_latitude;vlr_longitude;cod_munic;cod_cnes;nom_estab;dsc_endereco;dsc_bairro;dsc_cidade;dsc_telefone;dsc_uf
-3,705171347;-38,56402874;230440;2415585;C S F VIRGILIO TAVORA;AV MONSENHOR HELIO CAMPOS;CRISTO REDENTOR;Fortaleza;8534523487;Ceará (CE)
-3,780884743;-38,60185862;230440;3394506;C S F FERNANDO CESAR VIEIRA DIOGENES;RUA TEODORO DE CASTRO;GRANJA PORTUGUAL;Fortaleza;8534883240;Ceará (CE)
-3,754159212;-38,56486559;230440;2482304;C S F OLIVEIRA POMBO;TRAVESSA JULIO RIBEIRO;PAM AMERICANO;Fortaleza;8534828576;Ceará (CE)
-3,769286871;-38,49570751;230440;2528703;C S F BENEDITO ARTHUR DE CARVALHO;RUA JAIME LEONEL;LUCIANO CAVALCANTE;Fortaleza;8534521880;Ceará (CE)
-3,701115847;-38,57323408;230440;5128439;C S F 4 VARAS;RUA PROFETA ISAIAS;COLONIA;Fortaleza;32866041;Ceará (CE)
-3,764469624;-38,57973576;230440;2528967;C S F PROF JOSE SOBREIRA DE AMORIM;RUA DES LUIS PAULINO;JOCKEY CLUBE;Fortaleza;34881271;Ceará (CE)
-3,717;-38,543;230440;2529211;C S F DR HELIO GOES FERREIRA;AV ENG LEAL LIMA VERDE;EDSON QUEIROZ;Fortaleza;8534525714;Ceará (CE)
-3,788019419;-38,58192444;230440;2482282;C S F GUTEMBERG BRAUN;RUA MONSENHOR AGOSTINHO;VILA PERY;Fortaleza;34525199;Ceará (CE)
-3,726779222;-38,46603155;230440;2528916;C S F AIDA SANTOS E SILVA;RUA TRAJANO DE MEDEIROS;VICENTE PIZON;Fortaleza;8534332734;Ceará (CE)
-3,776142597;-38,55896473;230440;2529440;C S F PROF JOSE VALDEVINO DE CARVALHO;RUA GUARA;ITAOCA;Fortaleza;8531317338;Ceará (CE)
-3,814294338;-38,61876726;230440;6017274;C S F DO SIQUEIRA;AV LUIS MONTENEGRO;SIQUEIRA;Fortaleza;8531053342;Ceará (CE)
-3,728624582;-38,52225065;230440;2529327;C S F PAULO MARCELO MARTINS RODRIGUES;RUA 25 DE MARCO;CENTRO;Fortaleza;8534339701;Ceará (CE)
-3,767591715;-38,53806496;230440;2645114;C S F TURBAY BARREIRA;RUA GONCALO SOUTO;VILA UNIAO;Fortaleza;8532724055;Ceará (CE)
-3,83059144;-38,55535984;230440;2528533;C S F JOSE WALTER;AV L;JOSE WALTER;Fortaleza;8587814373;Ceará (CE)
-3,736091852;-38,53639126;230440;2528983;C S F SANTA LIDUINA;RUA PROF JOAO BOSCO;PARQUE ARAXA;Fortaleza;8534332569;Ceará (CE)
-3,718110323;-38,46485138;230440;2561166;C S F DR CELIO BRASIL GIRAO;RUA PROF HENRIQUE FIRMEZA;CDO PORTO;Fortaleza;34332739;Ceará (CE)
-3,858990669;-38,49289656;230440;2529181;C S F PROF ANISIO TEIXEIRA;RUA GUARANY;PAUPINA;Fortaleza;8534335285;Ceará (CE)
-3,776367903;-38,56072426;230440;2482320;C S F DE PARANGABA;RUA GERMANO FRANK;PARANGABA;Fortaleza;31317337;Ceará (CE)
-3,743634224;-38,59436989;230440;2528975;C S F METON DE ALENCAR;RUA PE PERDIGAO SAMPAIO;ANTONIO BEZERRA;Fortaleza;8534883271;Ceará (CE)
-3,736907244;-38,59879017;230440;5098971;C S F GEORGE BENEVIDES;RUA PIO SARAIVA;QUINTINO CUNHA;Fortaleza;8531051086;Ceará (CE)
-3,714226484;-38,59715939;230440;2645106;C S F JOAO MEDEIROS DE LIMA;AV I;VILA VELHA;Fortaleza;8534526646;Ceará (CE)
-3,791409731;-38,57698917;230440;2482177;C S F LUCIANO TORRES DE MELO;RUA DELTA;VILA MANOEL SATIRO;Fortaleza;8534334922;Ceará (CE)
